ddr bandwidth(total if w of other): input_norm_div_store/ptq_new_st/fusion,614508,307200,0,307200,108
effctive ddr bandwidth(total if w of other): input_norm_div_store/ptq_new_st/fusion,614624,307200,0,307200,224
ddr bandwidth(total if w of other): Concat_40(Concat)_2CHW_store/ptq_new_st/fusion,615088,307200,0,307200,688
effctive ddr bandwidth(total if w of other): Concat_40(Concat)_2CHW_store/ptq_new_st/fusion,615104,307200,0,307200,704
ddr bandwidth(total if w of other): Concat_40(Concat)_22CHW_store/ptq_new_st/fusion,615136,307200,0,307200,736
effctive ddr bandwidth(total if w of other): Concat_40(Concat)_22CHW_store/ptq_new_st/fusion,2765568,2457600,0,307200,768
ddr bandwidth(total if w of other): Sigmoid_45.(Sigmoid)/broadcast_store/ptq_new_st/fusion,782784,347520,21888,409600,3776
effctive ddr bandwidth(total if w of other): Sigmoid_45.(Sigmoid)/broadcast_store/ptq_new_st/fusion,782784,347520,21888,409600,3776
ddr bandwidth(total if w of other): Sigmoid_48.(Sigmoid)/broadcast_store/ptq_new_st/fusion,618048,409600,2048,204800,1600
effctive ddr bandwidth(total if w of other): Sigmoid_48.(Sigmoid)/broadcast_store/ptq_new_st/fusion,618048,409600,2048,204800,1600
ddr bandwidth(total if w of other): Sigmoid_54.(Sigmoid)/broadcast_store/ptq_new_st/fusion,426368,209920,10240,204800,1408
effctive ddr bandwidth(total if w of other): Sigmoid_54.(Sigmoid)/broadcast_store/ptq_new_st/fusion,426368,209920,10240,204800,1408
ddr bandwidth(total if w of other): Add_56(binary_add)/binary_add_0/ptq_new_st/fusion,614784,409600,0,204800,384
effctive ddr bandwidth(total if w of other): Add_56(binary_add)/binary_add_0/ptq_new_st/fusion,614784,409600,0,204800,384
ddr bandwidth(total if w of other): Sigmoid_58.(Sigmoid)/broadcast_store/ptq_new_st/fusion,618048,409600,2048,204800,1600
